user,size
4872.0,12.0
10904.0,154.0
651963.0,97.0
717973.0,74.0
744613.0,34.0
754497.0,21.0
754747.0,10.0
756083.0,92.0
756373.0,17.0
765986.0,50.0
790466.0,43.0
822454.0,12.0
906711.0,12.0
981291.0,18.0
1117541.0,49.0
1142311.0,32.0
1178441.0,10.0
1233221.0,21.0
1421171.0,17.0
1431301.0,27.0
2099891.0,12.0
2174321.0,11.0
3107011.0,240.0
3252331.0,12.0
3744201.0,26.0
5027201.0,458.0
5067091.0,15.0
5221051.0,59.0
5385272.0,11.0
5751162.0,314.0
6507992.0,60.0
6903972.0,14.0
7240852.0,10.0
7610582.0,13.0
7957982.0,12.0
8107052.0,10.0
8253932.0,59.0
8619932.0,17.0
8861032.0,10.0
9154112.0,34.0
9446062.0,58.0
9630642.0,36.0
9856442.0,65.0
10010012.0,24.0
10311912.0,10.0
10645912.0,15.0
10774712.0,19.0
10924852.0,19.0
10938302.0,20.0
11007392.0,165.0
11305582.0,21.0
11509602.0,10.0
11933582.0,24.0
12143902.0,12.0
12405732.0,10.0
12470602.0,221.0
12522272.0,195.0
12579022.0,13.0
12831092.0,78.0
12882572.0,30.0
12894062.0,39.0
13252292.0,41.0
13605172.0,54.0
13729222.0,16.0
13967832.0,21.0
14054507.0,25.0
14075550.0,14.0
14080929.0,13.0
14090277.0,34.0
14146185.0,10.0
14204917.0,12.0
14216486.0,20.0
14217880.0,21.0
14222925.0,24.0
14259364.0,18.0
14285060.0,53.0
14317118.0,13.0
14342733.0,26.0
14360516.0,337.0
14388412.0,140.0
14476147.0,11.0
14494523.0,34.0
14516774.0,10.0
14527470.0,20.0
14527866.0,15.0
14570002.0,110.0
14586849.0,33.0
14615488.0,16.0
14630723.0,27.0
14631905.0,19.0
14632409.0,20.0
14681879.0,87.0
14683259.0,94.0
14700970.0,12.0
14707552.0,14.0
14774694.0,14.0
14778958.0,25.0
14787705.0,29.0
14933829.0,24.0
14958735.0,13.0
14960059.0,16.0
14994922.0,557.0
15005656.0,60.0
15046179.0,20.0
15060125.0,39.0
15066575.0,27.0
15077891.0,69.0
15101175.0,48.0
15164343.0,57.0
15175113.0,45.0
15184159.0,116.0
15200703.0,20.0
15214438.0,21.0
15246412.0,21.0
15249785.0,15.0
15250728.0,11.0
15258562.0,10.0
15265686.0,51.0
15300847.0,14.0
15315097.0,15.0
15322325.0,10.0
15371805.0,10.0
15374215.0,272.0
15381827.0,160.0
15384586.0,14.0
15393687.0,10.0
15407595.0,111.0
15428894.0,18.0
15445975.0,22.0
15498115.0,23.0
15503755.0,63.0
15505945.0,24.0
15519021.0,11.0
15519752.0,13.0
15533608.0,14.0
15534011.0,30.0
15655846.0,22.0
15684468.0,15.0
15702729.0,17.0
15708711.0,236.0
15754394.0,30.0
15769287.0,13.0
15776749.0,12.0
15806058.0,14.0
15848203.0,24.0
15857879.0,58.0
15908328.0,15.0
15916409.0,23.0
16029655.0,21.0
16061974.0,15.0
16073037.0,27.0
16085337.0,15.0
16086527.0,15.0
16091221.0,24.0
16093219.0,18.0
16101082.0,10.0
16128989.0,11.0
